STATION,ADDRESS,LOCALITY,ALTADDRESS,LONG_GDA94,LAT_GDA94,LONG_GDA20,LAT_GDA20
ABBEYWOOD HIVESVILLE RURAL,GAYNDAH-HIVESVILLE ROAD,ABBEYWOOD ,,151.6613719390001,-26.120001813999977,151.66137827962132,-26.11998911500464
AGNES WATER RURAL,CAPTAIN COOK DRIVE,AGNES WATER ,,151.8832065800001,-24.18289251799996,151.88321312210414,-24.182879824414464
ALDERSHOT RURAL,2 MURRAY STREET,ALDERSHOT ,,152.66158600000006,-25.465710999999942,152.66159231807853,-25.465698392676195
ALTON DOWNS RURAL,73 NICHOLSON STREET,ALTON DOWNS ,,150.35595909000006,-23.30321795599997,150.35596586730404,-23.303205113541694
ALVA BEACH RURAL,BRABY STREET,ALVA BEACH ,,147.4787930220001,-19.45975937199995,147.47880040109183,-19.459746256353483
AMBY TOWN RURAL,GEORGE STREET,AMBY ,,148.18770671900006,-26.548008488999983,148.1877133758586,-26.547995487639906
ANAKIE RURAL,CORNER OF CAMERON STREET AND HEGARTY STREET,WILLOWS GEMFIELDS ,,147.74944730800007,-23.549862249999933,147.74945429794104,-23.549849189576587
ARATULA RURAL,6708 CUNNINGHAM HIGHWAY,ARATULA ,,152.55048771400004,-27.97917620499993,152.55049373587215,-27.979163606767198
AVONDALE RURAL,O'CONNELL STREET,AVONDALE ,,152.1604802490001,-24.742769771999974,152.16048670074989,-24.742757109723456
BAJOOL RURAL,HIGH STREET,BAJOOL ,,150.6446400000001,-23.653439999999932,150.6446467141245,-23.653427186483935
BALL BAY HALIDAY BAY RURAL,5 STURGEON STREET,BALL BAY ,,148.9935718700001,-20.90361885699997,148.99357900232076,-20.903605876162047
BALL BAY HALIDAY BAY RURAL,1 HEADLAND DRIVE,HALIDAY BAY ,,148.98744286300007,-20.897911772999976,148.98744999634934,-20.89789879159885
BALLANDEAN RURAL,27 CURR ROAD,BALLANDEAN ,,151.8400857580001,-28.802151119999962,151.84009175769845,-28.802138459155778
BANANA NO 1 RURAL,CORNER OF NORTH STREET AND BRAMPSTON STREET,BANANA ,,150.12980984600006,-24.468387313999983,150.1298165212152,-24.468374460925617
BAUPLE RURAL,CORNER OF MILL STREET AND SOTTENVILL ROAD,BAUPLE ,,152.62505100400006,-25.81618503599998,152.62505728353122,-25.81617242790537
BEDOURIE TOWN RURAL,EYRE STREET,BEDOURIE ,,139.46918491100007,-24.36074240599993,139.46919264312652,-24.360728838559893
BEECHMONT RURAL,1861 BEECHMONT ROAD,BEECHMONT ,,153.19144943600008,-28.126471409999965,153.19145536847046,-28.126458876882896
BEERWAH AND DISTRICT RURAL,179 ROYS ROAD,BEERWAH ,,152.97679249400005,-26.856567505999976,152.9767986101906,-26.85655494124788
BELL CENTRE RURAL,CORNER OF CHALLACOMBE STREET AND CASSIDY STREET,BELL ,,151.4517449000001,-26.933893465999972,151.45175116731215,-26.933880753671502
BELLI PARK RURAL,1170 EUMUNDI-KENILWORTH ROAD,BELLI PARK ,,152.84409206200007,-26.511357760999942,152.844098234675,-26.51134518023002
BELLTHORPE RURAL,300 BELLTHORPE WEST ROAD,BELLTHORPE ,,152.71836100000007,-26.84752999999995,152.71836714430034,-26.847517409418387
BELMONT RURAL,CORNER OF GREENLAKE ROAD AND MILLERS ROAD,PARKHURST ,,150.52818571700004,-23.23099476799996,150.52819248655084,-23.230981940444394
BENARABY RURAL,15 O'CONNOR ROAD,BENARABY ,,151.32285688000002,-24.004187799999954,151.3228634938721,-24.004175051897263
BENNETT RURAL,"LOT 1,  MARY ROAD",TARA ,,150.47029721400008,-27.052210142999968,150.47030357254533,-27.052197341112812
BENNETT RURAL,59 BILLABONG LANE,TARA ,,150.5487010280001,-27.070538254999974,150.54870737604693,-27.070525460345333
BIARRA RURAL,228 ESK - CROWS NEST ROAD,BIARRA ,,152.39104357400004,-27.208740414999966,152.39104970848297,-27.20872779504067
BIDWILL RURAL,LANGERS ROAD,TINANA ,,152.71482039600005,-25.579567793999956,152.71482669516195,-25.57955519287088
