STATION,ADDRESS,LOCALITY,ALTADDRESS,CREWING,LEVYTYPE,LONG_GDA94,LAT_GDA94,LONG_GDA20,LAT_GDA20
ACACIA RIDGE,127 BRADMAN ST,ACACIA RIDGE,cnr Bradman and Bellrick Sts,P,Class A,153.03853260300002,-27.58115886199994,153.03853862170087,-27.581146309190135
AGNES WATER,"LOT 1, ROUND HILL ROAD",AGNES WATER,,A,Class D,151.8932957730001,-24.219973248999963,151.89330230994796,-24.219960556686303
AIRLIE BEACH,2495 SHUTE HARBOUR RD,AIRLIE BEACH,,C,Class C,148.72746188700012,-20.278044214999966,148.72746909895412,-20.27803120665628
ALLORA,3 MUIR ST,ALLORA,,A,Class D,151.98464597800012,-28.03477014899994,151.98465205562908,-28.034757496080424
AMITY POINT,9 HEXTON ST,AMITY POINT,,A,Class D,153.44222305900007,-27.398449701999937,153.44222905768052,-27.398437188608902
ANNERLEY,346 IPSWICH RD,ANNERLEY,,P,Class A,153.03475210700003,-27.504391118999933,153.0347581358113,-27.504378565204206
ANZAC AVENUE,201 ANZAC AV,TOOWOOMBA,,P,Class A,151.9240748100001,-27.57181008999993,151.92408095059957,-27.57179742762667
ARAMAC,87 GORDON ST,ARAMAC,cnr Gordon and Burt Sts,A,Class D,145.24034205100008,-22.97166083299993,145.24034932142905,-22.97164758232748
ARANA HILLS,1145 SOUTH PINE RD,ARANA HILLS,,P,Class A,152.96251680000012,-27.38969775299995,152.96252285100624,-27.38968519105372
ASHGROVE,515 WATERWORKS RD,ASHGROVE,,P,Class A,152.97602425600007,-27.447892389999936,152.97603029823995,-27.44787982986695
ATHERTON,17 VERNON ST,ATHERTON,,C,Class B,145.47773494500007,-17.26752094799997,145.47774263929617,-17.26750766638481
AYR,47-49 SOPER ST,AYR,,C,Class B,147.40965797400008,-19.571624718999942,147.40966534852632,-19.571611598930637
BABINDA,44 EASTWOOD ST,BABINDA,,A,Class D,145.9214541980001,-17.344775950999974,145.92146185774124,-17.344762701261644
BARALABA,22 STOPFORD ST,BARALABA,,A,Class D,149.81126907600003,-24.182488364999983,149.8112758113623,-24.182475481516878
BARCALDINE,56 ASH ST,BARCALDINE,Corner Maple And Ash Sts,A,Class D,145.29106966900008,-23.553388731999974,145.29107688778365,-23.55337548949733
BARGARA,31 TANNER ST,BARGARA,,A,Class A,152.45876220800005,-24.81347978599996,152.45876862316524,-24.813467153381445
